Id,Designator,Package,Quantity,Designation,Mouser Link,Alternative
1,J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,,
2,J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,,
3,"C9,C3,C35,C34,C29",C_0603_1608Metric,5,0.1uF,,
4,D1,D_SOD-123,1,BAT54GWX,https://eu.mouser.com/ProductDetail/Nexperia/BAT54GWX?qs=%2Fha2pyFaduhGyeiaZlFGPwLUCD2gRQV4LxbkIuvhvP%2Fjlz%252B14KysJw%3D%3D,
5,"C38,C32,C28,C19",C_0603_1608Metric,4,2.2uF,,
6,"R20,R19",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,1K5,,
7,"R18,R17",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,1M,,
8,C17,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,0.1uF,,
9,Q1,SuperSOT-3,1,PMV100EPAR,,
10,"L6,L5",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,5.1nH,https://eu.mouser.com/ProductDetail/Coilcraft/0603CS-5N1XJLU?qs=%2Fha2pyFaduh9q%2FWLOpmoH8elxM4rzOtpzwX4K6OaH9vEcf2q5ct%252Beju0ZIrgX27J,
11,"D6,D3",SOT-23,2,BAV99,https://eu.mouser.com/ProductDetail/Rectron/BAV99?qs=7pEAo90IqNFHEty9CuCrMA%3D%3D,
12,"C37,C31,C27,C5",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,1nF,,
13,"C36,C30,C24,C8,C4,C1",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,10uF,,
14,"C33,C18",C_0402_1005Metric,2,1.5pF,https://eu.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1H1R5WA01D?qs=ouTquLLW2S72ckA3S8tmFw%3D%3D,
15,"R6,R7",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,0,,
16,"C26,C25",C_0204_0510Metric,2,0.47uF,https://eu.mouser.com/ProductDetail/TDK/C0510X5R1A474M030BC?qs=%2Fha2pyFaduihIuUNbDYpK5xy7kSj7RNHFbhnuYVi5y3obpJ9LlXZ8UttLbImfdia,
17,"U9,U8",SOT-23,2,LM4040DBZ-2.5,https://eu.mouser.com/ProductDetail/Diodes-Incorporated/LM4040C25FTA?qs=%2Fha2pyFadujGROzXTD061lZ8gqz8xvIHuGNxPaJuVUaWTqWr2Raysg%3D%3D,
18,"C23,C22,C21,C16",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,1uF,,
19,"D4,D2",D_MELF_1072,2,MA4P7001F,https://eu.mouser.com/ProductDetail/MACOM/MA4P7001F-1072T?qs=%2Fha2pyFadugeG5KJWRuJEdB440FlIKm%252BnCXy3xhgluRqR7r9NKe6BAdl7EP396cT,
20,U7,Mini-Circuits_YY161_LandPatternPL-049,1,SCLF-X-21.4+,,
